,poap_name,frequency
222,ETHSantiago[03]: ZkSnark in a nutshell,23
223,Blockchain 101 - Rutgers,23
224,ETHCAPETOWN,22
225,ETHTURIN 2020 - Hacker,22
226,VeeFriends Halloween 2021 #1,22
227,Intro to R3 Corda | Enterprise Blockchain Week 06.05.2020,22
228,Intro to Hedera Hashgraph | Enterprise Blockchain Week 07.05.2020,22
229,MyCrypto's Big Twitter Drop!,21
230,ETHBuenosAires,21
231,SPRKL - PleasrDAO✨ x Jason Naylor,21
232,Consensus 2021 by Coindesk - Attendee,21
233,CoinGecko 七夕NFT 2021 ,21
234,Decentralized Finance & Governance ,21
235,ZED HQ - Launch - Open Day,21
236,Decentralized Finance & Governance,21
237,Ethereum Buenos Aires meetup - Diciembre 2019 (II),21
238,Reality Cards Beta Tester,20
239,Medalla Testnet Genesis Validator - Nimbus client,20
240,1st Annual NFTY Pride,20
241,GRO DAO Copper - FLA,20
242,EthereumBA 21st edition,19
243,"Olympus - FOHMO 2, Day 2",19
244,The Cutting Edge with gmoney - Episode 5,19
245,"OlympusDAO - FOHMO 2, Day 5 ",19
246,Geneva Bonfire Cryptobrunch,19
247,ETHOnline Hacker,19
248,Early Issuers,19
249,FWB Season Two,19
250,Optino OG,18
251,Student Opportunities in Blockchain,18
252,Odyssey After Party,18
253,Rutgers Intro event 2020,18
254,$MEME Building Launch @ Decentraland,18
255,"Olympus - FOHMO 2, Day 4",18
256,THORRekt,18
257,Ethereum Stakers Community Call #6,18
258,On To New Beginnings ,18
259,PUNKS Comic 6-Month Anniversary,17
260,DeFi Masterclass May 2021,17
261,Ethereum Buenos Aires Meetup,17
262,ETH Network - Attendee (Gen 5),17
263,CoinGecko Virtual Meetup #13 | Exploring The Polygon Ecosystem,17
264,Lanzamiento ecosistema Ethereum Santiago [Bloque Génesis],17
265,Pudgy Penguin,17
266,DeFi Summit London 2019,16
267,Dragon Quest - Grandmaster,16
268,IC3 Blockchain Camp 2020,16
269,USV Annual Meeting 2021,16
270,Panvala Spring Orientation,16
271,Inverse Finance Anchor Pioneer,16
272,"The First Redeemable NFT in Times Square, Ever!",16
273,EthereumBA 23rd edition,16
274,EthBuenosAires,16
275,TEL AVIV BLOCKCHAIN WEEK 2019,16
276,EthCC 4 ,15
277,/r/ethfinance 1-year Celebration,15
278,Wen Rat 2021: Gutter Rat Anticipation Event,15
279,Intro to Kyber Network | Southeast Asia DeFi Week 02.06.2020,15
280,TOURISTOKEN Birthday gift,15
281,VeeFriends Halloween 2021 #2,15
282,TruffleCon 2020,15
283,见证历史时刻，Beeple作品佳士得拍卖纪念,15
284,Ethereum Meetup December - Identity Session,15
285,EthereumBA 22nd edition,15
286,CowSwap 24-09-2021 Testing Session,15
287,FWB Snacks,15
