,owner_of,number of tokens
5150,0x1baec9d58603f6eaeddbd66acc56db76215fc8d6,82
5165,0x1bc26c75c728b711228677b2ad8219ed24f05c7a,180
5213,0x1c01ad7a3f0b6abf864012420883c0057a53ac49,64
5217,0x1c051112075feaee33bcdbe0984c2bb0db53cf47,630
5250,0x1c385edf4b687db1472506447348a9e62e1e5edb,92
5279,0x1c5eb68630ccd90c3152fb9dee3a1c2a7201631d,414
5334,0x1cb672bd49eb10a95a62b424cfb136ab3df0b32c,23
5342,0x1cc1983396e55e925b777a0d70dfe8b56edee942,165
5346,0x1cc3195c46c2f6af665ae281ad861eab88ed8fb5,1384
5350,0x1cc848568daabc2541f58c6d2f3344972ac1f2cd,103
5355,0x1ccd8ff59612d4108d9bbe5f16add545efc6fdbe,42
5411,0x1d12d09793daf5eb834c8d29eb6a039c32b73813,81
5428,0x1d2252650c15c9e024a4669a590e02d7a5d00a55,12
5450,0x1d4752ec4aaaf60d0d6817fed1d2784fe2080218,572
5534,0x1dc301854bfecb4ba03eb417579585c2b8ea12c1,1776
5540,0x1dcdda173ef0405e7ff3bb2433b58ce1aa92eccc,90
5573,0x1df428833f2c9fb1ef098754e5d710432450d706,569
5598,0x1e121993b4a8bc79d18a4c409db84c100fff25f5,827
5623,0x1e32a859d69dde58d03820f8f138c99b688d132f,1777
5630,0x1e3882aff34c1eaf5507e77026f215085bda1e19,95
5643,0x1e4c628921d04ab9ea56e7144e3c1203abdafece,187
5694,0x1e8e749b2b578e181ca01962e9448006772b24a2,1016
5759,0x1edcccddb214cd3c20613708d9c9ead9cd2476db,87
5771,0x1ef0420513534fcb6d15d9e61dcfca82b1a5f427,31
5794,0x1efed205caede27da1135cd37a4192861a51100e,729
5802,0x1f08cbfca1f63a23bb6255a76e1ddeeb8d24d0fa,113
5828,0x1f38b496a4738c2ea635945cafc18e47f6f90d97,70
5884,0x1f92fc15bcbeb4dd24eefbead8d7aee409f891dc,1249
5926,0x1fdbffd0d8e237e64e68a904c2a6f447a1ad5c90,142
5943,0x1ff2875cd548eeae6d22f26bae2d72a50fd143c7,609
5993,0x203bc267a4657ae5ee774eb35cec32faa2c0bc1f,362
6055,0x20943a7fbdcb4b84ea553c13d765cd4adaee709b,51
6116,0x20e9503a6bc31765d3648b4ab67d035aa67c65a6,201
6168,0x21438493531dfd9ff94c9eee6786d5c22ec287cc,223
6193,0x2164d6b2ef215a4f46912bdd18f27a25041ebe29,72
6208,0x2177da04f9479496c2292d6344d306aa49beb34a,477
6218,0x2186fb38c7c81b34681aa34d74a363fa3246fe5a,97
6277,0x21d79c2be4ab3de2802a60da66f86d497d06102b,294
6304,0x21ffe04829c65e6656b9c156c7dade4c41025c1c,156
6318,0x221856c687333a29bbf5c8f29e7e0247436ccf7d,169
6326,0x221fb933f42dfde73db5532154f4675b072e1b72,148
6337,0x22290f198be49fe8245cc84d11e4f4747a2000ae,330
6436,0x22ad49d3e1f81a2a626e2df64fbdabe1536cab07,265
6762,0x2457e26c89ac2e18ff3b1703b42067aeb0783ca8,43
6818,0x24a39611d030c76e431d786bd160a73cd4d1da49,71
6864,0x24f01da12667d5679bc2f4df44c919396ed152f2,253
6871,0x24f712251b2dc907d4a3672c6fa5d992e5c1bd23,144
6911,0x2525f1a08a2d5f037dda969f2fa1b56e4b4b47f3,369
6983,0x2592552707b9575afb566178134118a69d97fe29,489
7048,0x25dd159bb80ca4216a2693ca0394672e4600578f,405
7151,0x267a3195ea57ad38e65993dbcb9fbebf8995621d,248
7156,0x268221eff4de4d9ca8943f9e143c076dd2c1dd54,243
7161,0x268ae15513ccfb5e607b7070f9b9db2e555a8a34,201
7163,0x268d3a8c4701000546dd0bf959bf6c8956cc3e5e,187
7236,0x26efa48f71252f2f7d6c3927e615e6dfaa96b85d,59
7246,0x26fb232e36905b9cfee607c85a58c6f3c8d43f41,155
7328,0x2767e54c09e6da30e1c5e1470be6331101e99899,283
7342,0x277a67708887100e9330f12585fb1d62507d36ec,66
7468,0x2816b2ea90f80212de0cea60fea000346f3614b8,503
7484,0x283055eadc6f042b3be83154e072d55f55c0eff1,76
7489,0x28358cef6f55f9746c9c26c62e5728036b4f64b8,38
7531,0x286cd2ff7ad1337baa783c345080e5af9bba0b6e,350
7554,0x2881780b4184b0f81001fb263dafb7a4271edf06,167
7582,0x28a3022841cc4d307283e320d8ef8dee7ad606e9,165
7655,0x290325186b7339d1564e01ff4a54ff563b3010d7,204
7656,0x290420874bf65691b98b67d042c06bbc31f85f11,1687
7658,0x29059f184faa0a32c83971c8951829c8be27d3f3,530
7722,0x295a1b716712b5de1af2656e1f62f17e89cf18b9,47
7723,0x295a1d8ddc54ebb6d4377cb72b4b3cc9181889dd,47
7747,0x29754d7a9f9f344327158e2d01508efa415bd558,155
7784,0x29a7fb941487c31b88473c10934545ac1a89d4c0,113
7821,0x29dff05a66e9c23605039df66f53ada4172ad3a9,75
7848,0x2a07272af1327699f36f06835a2410f4367e7a5c,822
7867,0x2a2196d979004974fd81b234c04bf9d49137205a,393
7890,0x2a42cf4e1cfc33850fd8d8da24f86cd89b82ad95,363
7964,0x2aa8c3aa07a3b6968a54749f0d770626239c0f43,159
8003,0x2ad0fb45590be993f529d6365540bba3e9ecbac0,39
8024,0x2ae82657ec1ec17b25f564cc500dac2a55c5c623,80
8039,0x2afd710d857262378efe996769902dd4cf918017,103
8058,0x2b18233fb4306a705471a7271c018ce0ff7dd754,133
8142,0x2b762480e5bdf49eba0e2126bd96685c70112355,179
8203,0x2bd0cbb03af55e337aabb179a7bf092218b8367c,333
8238,0x2bfe66759f0331066f3e7d57b3dc9a96bfc17927,243
8275,0x2c3474bfe64cd9748be69d24c30cc91639265e68,974
8282,0x2c419c8b207b10b39673482d83caa3e11f3604c5,1312
8336,0x2c83484b7998b0374a033aa0a7af42de2e325c93,92
8386,0x2ccf8a67fe50bccb6a36b0814463818c75cabeea,88
8399,0x2ce05594dce29fd077786e68b015c9456be502ce,177
8466,0x2d52f7bae61912f7217351443ea8a226996a3def,121
8469,0x2d55e23a891e5f7aa77d83bea870336d29868034,326
8565,0x2de14db256db2597fe3c8eed46ef5b20ba390823,193
8572,0x2debdf4427ccbcfdbc7f29d63964499a0ec184f6,486
8593,0x2e07df27127b34d9d497ac9154309bf2740e1ca7,250
8599,0x2e0d63ffcb08ea20ff3acdbb72dfec97343885d2,21
8601,0x2e10104bd7b3e7c659f6f802166be3fcdcd0c097,10
8607,0x2e19050f71ca02d20478159b9fc436e324ad4501,95
8612,0x2e21f5d32841cf8c7da805185a041400bf15f21a,1134
8677,0x2e7296ebc57fcf7c0b112d2a46062017be2b1792,33
8697,0x2e9b4cbcd51db2d28509b6e11744d78ed7f7d6b2,91
8722,0x2eb642535d1090cd12dc0cc206c641076a2bdc65,203
8744,0x2ed65eb5888cd73d74b9c847ffe4b801ee818720,32
8774,0x2eff303377b9e01e042b7f80fb42836b35fb1a49,2185
8857,0x2f64b9c5e4b24eef6c2003406302f0dd92ae9b56,669
